Date,Sell
2020-04-01,26506.55
2020-04-02,26506.55
2020-04-03,25936.23
2020-04-04,25936.23
2020-04-05,25936.23
2020-04-06,26018.95
2020-04-07,26121.77
2020-04-08,26190.96
2020-04-09,26147.94
2020-04-10,26261.2
2020-04-11,26261.2
2020-04-12,26261.2
2020-04-13,26238.79
2020-04-14,26253.96
2020-04-15,26301.22
2020-04-16,26131.39
2020-04-17,25989.23
2020-04-18,25989.23
2020-04-19,25989.23
2020-04-20,26091.42
2020-04-21,26026.56
2020-04-22,26092.03
2020-04-23,26054.09
2020-04-24,26034.9
2020-04-25,26034.9
2020-04-26,26034.9
2020-04-27,26085.72
2020-04-28,25993.86
2020-04-29,26024.47
2020-04-30,26024.47
2020-05-01,26024.47
2020-05-02,26024.47
2020-05-03,26024.47
2020-05-04,26230.0
2020-05-05,26166.02
2020-05-06,25971.69
2020-05-07,25870.41
2020-05-08,25931.5
2020-05-09,25931.5
2020-05-10,25931.5
2020-05-11,25922.11
2020-05-12,25868.66
2020-05-13,25974.58
2020-05-14,25882.74
2020-05-15,25869.28
2020-05-16,25869.28
2020-05-17,25869.28
2020-05-18,25866.27
2020-05-19,26085.99
2020-05-20,26079.56
2020-05-21,26155.84
2020-05-22,26006.53
2020-05-23,26006.53
2020-05-24,26006.53
2020-05-25,25993.82
2020-05-26,26066.29
2020-05-27,26204.85
2020-05-28,26294.58
2020-05-29,26438.96
2020-05-30,26438.96
2020-05-31,26438.96
2020-06-01,26528.25
2020-06-02,26513.95
2020-06-03,26692.66
2020-06-04,26733.17
2020-06-05,27050.38
2020-06-06,27050.38
2020-06-07,27050.38
2020-06-08,26896.23
2020-06-09,26750.16
2020-06-10,26968.72
2020-06-11,26993.8
2020-06-12,26860.53
2020-06-13,26860.53
2020-06-14,26860.53
2020-06-15,26782.0
2020-06-16,26940.99
2020-06-17,26783.08
2020-06-18,26718.91
2020-06-19,26656.29
2020-06-20,26656.29
2020-06-21,26656.29
2020-06-22,26594.45
2020-06-23,26792.24
2020-06-24,26925.09
2020-06-25,26709.4
2020-06-26,26687.62
2020-06-27,26687.62
2020-06-28,26687.62
2020-06-29,26757.94
2020-06-30,26651.95
2020-07-01,26678.5
2020-07-02,26735.54
2020-07-03,26709.4
2020-07-04,26709.4
2020-07-05,26709.4
2020-07-06,26821.43
2020-07-07,26904.58
2020-07-08,26790.21
2020-07-09,26980.6
2020-07-10,26757.62
2020-07-11,26757.62
2020-07-12,26757.62
2020-07-13,26857.36
2020-07-14,26935.72
2020-07-15,27101.95
2020-07-16,27092.25
2020-07-17,27094.63
2020-07-18,27094.63
2020-07-19,27094.63
2020-07-20,27120.76
2020-07-21,27211.04
2020-07-22,27398.78
2020-07-23,27460.52
2020-07-24,27576.88
2020-07-25,27576.88
2020-07-26,27576.88
2020-07-27,27757.35
2020-07-28,27947.33
2020-07-29,27828.59
2020-07-30,27966.32
2020-07-31,28177.67
2020-08-01,28177.67
2020-08-02,28177.67
2020-08-03,27904.58
2020-08-04,27906.96
2020-08-05,28042.31
2020-08-06,28213.29
2020-08-07,28201.41
2020-08-08,28201.41
2020-08-09,28201.41
2020-08-10,28001.94
2020-08-11,27833.34
2020-08-12,27849.97
2020-08-13,28068.43
2020-08-14,28049.44
2020-08-15,28049.44
2020-08-16,28049.44
2020-08-17,28127.8
2020-08-18,28239.41
2020-08-19,28365.27
2020-08-20,28118.3
2020-08-21,28189.54
2020-08-22,28189.54
2020-08-23,28189.54
2020-08-24,28004.32
2020-08-25,28006.69
