Date,Buy,Transfer,Sell
2020-04-01,23440.0,23470.0,23650.0
2020-04-02,23440.0,23470.0,23650.0
2020-04-03,23320.0,23350.0,23530.0
2020-04-04,23320.0,23350.0,23530.0
2020-04-05,23320.0,23350.0,23530.0
2020-04-06,23360.0,23390.0,23570.0
2020-04-07,23340.0,23370.0,23550.0
2020-04-08,23400.0,23430.0,23610.0
2020-04-09,23370.0,23400.0,23580.0
2020-04-10,23310.0,23340.0,23520.0
2020-04-11,23310.0,23340.0,23520.0
2020-04-12,23310.0,23340.0,23520.0
2020-04-13,23320.0,23350.0,23530.0
2020-04-14,23335.0,23365.0,23545.0
2020-04-15,23320.0,23350.0,23530.0
2020-04-16,23340.0,23370.0,23550.0
2020-04-17,23300.0,23330.0,23510.0
2020-04-18,23300.0,23330.0,23510.0
2020-04-19,23300.0,23330.0,23510.0
2020-04-20,23330.0,23360.0,23540.0
2020-04-21,23330.0,23360.0,23540.0
2020-04-22,23350.0,23380.0,23560.0
2020-04-23,23360.0,23390.0,23570.0
2020-04-24,23370.0,23400.0,23580.0
2020-04-25,23370.0,23400.0,23580.0
2020-04-26,23370.0,23400.0,23580.0
2020-04-27,23340.0,23370.0,23550.0
2020-04-28,23325.0,23355.0,23535.0
2020-04-29,23300.0,23330.0,23510.0
2020-04-30,23300.0,23330.0,23510.0
2020-05-01,23300.0,23330.0,23510.0
2020-05-02,23300.0,23330.0,23510.0
2020-05-03,23300.0,23330.0,23510.0
2020-05-04,23310.0,23340.0,23520.0
2020-05-05,23300.0,23330.0,23510.0
2020-05-06,23300.0,23330.0,23510.0
2020-05-07,23280.0,23310.0,23490.0
2020-05-08,23240.0,23270.0,23450.0
2020-05-09,23240.0,23270.0,23450.0
2020-05-10,23240.0,23270.0,23450.0
2020-05-11,23210.0,23240.0,23420.0
2020-05-12,23220.0,23250.0,23430.0
2020-05-13,23230.0,23260.0,23440.0
2020-05-14,23250.0,23280.0,23460.0
2020-05-15,23240.0,23270.0,23450.0
2020-05-16,23240.0,23270.0,23450.0
2020-05-17,23240.0,23270.0,23450.0
2020-05-18,23220.0,23250.0,23430.0
2020-05-19,23160.0,23190.0,23370.0
2020-05-20,23150.0,23180.0,23360.0
2020-05-21,23150.0,23180.0,23360.0
2020-05-22,23160.0,23190.0,23370.0
2020-05-23,23160.0,23190.0,23370.0
2020-05-24,23160.0,23190.0,23370.0
2020-05-25,23180.0,23210.0,23390.0
2020-05-26,23200.0,23230.0,23410.0
2020-05-27,23200.0,23230.0,23410.0
2020-05-28,23180.0,23210.0,23390.0
2020-05-29,23160.0,23190.0,23370.0
2020-05-30,23160.0,23190.0,23370.0
2020-05-31,23160.0,23190.0,23370.0
2020-06-01,23140.0,23170.0,23350.0
2020-06-02,23140.0,23170.0,23350.0
2020-06-03,23140.0,23170.0,23350.0
2020-06-04,23140.0,23170.0,23350.0
2020-06-05,23130.0,23160.0,23340.0
2020-06-06,23130.0,23160.0,23340.0
2020-06-07,23130.0,23160.0,23340.0
2020-06-08,23110.0,23140.0,23320.0
2020-06-09,23070.0,23100.0,23280.0
2020-06-10,23070.0,23100.0,23280.0
2020-06-11,23110.0,23140.0,23320.0
2020-06-12,23110.0,23140.0,23320.0
2020-06-13,23110.0,23140.0,23320.0
2020-06-14,23110.0,23140.0,23320.0
2020-06-15,23100.0,23130.0,23310.0
2020-06-16,23085.0,23115.0,23295.0
2020-06-17,23080.0,23110.0,23290.0
2020-06-18,23080.0,23110.0,23290.0
2020-06-19,23100.0,23130.0,23310.0
2020-06-20,23100.0,23130.0,23310.0
2020-06-21,23100.0,23130.0,23310.0
2020-06-22,23100.0,23130.0,23310.0
2020-06-23,23090.0,23120.0,23300.0
2020-06-24,23100.0,23130.0,23310.0
2020-06-25,23085.0,23115.0,23295.0
2020-06-26,23090.0,23120.0,23300.0
2020-06-27,23090.0,23120.0,23300.0
2020-06-28,23090.0,23120.0,23300.0
2020-06-29,23085.0,23115.0,23295.0
2020-06-30,23090.0,23120.0,23300.0
2020-07-01,23080.0,23110.0,23290.0
2020-07-02,23080.0,23110.0,23290.0
2020-07-03,23080.0,23110.0,23290.0
